"dbms"	"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"ORDINAL_POSITION"	"DATA_TYPE"	"CHARACTER_MAXIMUM_LENGTH"	"CONSTRAINT_TYPE"	"REFERENCED_TABLE_SCHEMA"	"REFERENCED_TABLE_NAME"	"REFERENCED_COLUMN_NAME"
"mysql"	"performance_schema"	"setup_consumers"	"NAME"	"1"	"varchar"	"64"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"setup_instruments"	"NAME"	"1"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"setup_objects"	"OBJECT_TYPE"	"1"	"enum"	"9"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"setup_objects"	"OBJECT_SCHEMA"	"2"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"setup_objects"	"OBJECT_NAME"	"3"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"setup_threads"	"NAME"	"1"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"table_io_waits_summary_by_index_usage"	"OBJECT_TYPE"	"1"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_io_waits_summary_by_index_usage"	"OBJECT_SCHEMA"	"2"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_io_waits_summary_by_index_usage"	"OBJECT_NAME"	"3"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_io_waits_summary_by_index_usage"	"INDEX_NAME"	"4"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_io_waits_summary_by_table"	"OBJECT_TYPE"	"1"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_io_waits_summary_by_table"	"OBJECT_SCHEMA"	"2"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_io_waits_summary_by_table"	"OBJECT_NAME"	"3"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_lock_waits_summary_by_table"	"OBJECT_TYPE"	"1"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_lock_waits_summary_by_table"	"OBJECT_SCHEMA"	"2"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"table_lock_waits_summary_by_table"	"OBJECT_NAME"	"3"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"threads"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_current"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_current"	"EVENT_ID"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_history"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_history"	"EVENT_ID"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_thread_by_event_name"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_thread_by_event_name"	"EVENT_NAME"	"2"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_account_by_event_name"	"USER"	"1"	"char"	"32"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_account_by_event_name"	"HOST"	"2"	"char"	"60"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_account_by_event_name"	"EVENT_NAME"	"3"	"varchar"	"128"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_user_by_event_name"	"USER"	"1"	"char"	"32"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_user_by_event_name"	"EVENT_NAME"	"2"	"varchar"	"128"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_host_by_event_name"	"HOST"	"1"	"char"	"60"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_by_host_by_event_name"	"EVENT_NAME"	"2"	"varchar"	"128"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_stages_summary_global_by_event_name"	"EVENT_NAME"	"1"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_statements_current"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_statements_current"	"EVENT_ID"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_statements_history"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_statements_history"	"EVENT_ID"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_statements_summary_by_thread_by_event_name"	"EVENT_NAME"	"2"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"cond_instances"	"NAME"	"1"	"varchar"	"128"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"END_EVENT_ID"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"EVENT_NAME"	"4"	"varchar"	"128"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"FLAGS"	"19"	"int"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"INDEX_NAME"	"12"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"NESTING_EVENT_ID"	"15"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"NESTING_EVENT_TYPE"	"16"	"enum"	"11"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"NUMBER_OF_BYTES"	"18"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"OBJECT_INSTANCE_BEGIN"	"14"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"OBJECT_NAME"	"11"	"varchar"	"512"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"OBJECT_SCHEMA"	"10"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"OBJECT_TYPE"	"13"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"OPERATION"	"17"	"varchar"	"32"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"SOURCE"	"5"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"SPINS"	"9"	"int"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"TIMER_END"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"TIMER_START"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"TIMER_WAIT"	"8"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"END_EVENT_ID"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"EVENT_NAME"	"4"	"varchar"	"128"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"FLAGS"	"19"	"int"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"INDEX_NAME"	"12"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"NESTING_EVENT_ID"	"15"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"NESTING_EVENT_TYPE"	"16"	"enum"	"11"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"NUMBER_OF_BYTES"	"18"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"OBJECT_INSTANCE_BEGIN"	"14"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"OBJECT_NAME"	"11"	"varchar"	"512"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"OBJECT_SCHEMA"	"10"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"OBJECT_TYPE"	"13"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"OPERATION"	"17"	"varchar"	"32"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"SOURCE"	"5"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"SPINS"	"9"	"int"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"TIMER_END"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"TIMER_START"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"TIMER_WAIT"	"8"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"END_EVENT_ID"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"EVENT_ID"	"2"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"EVENT_NAME"	"4"	"varchar"	"128"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"FLAGS"	"19"	"int"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"INDEX_NAME"	"12"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"NESTING_EVENT_ID"	"15"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"NESTING_EVENT_TYPE"	"16"	"enum"	"11"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"NUMBER_OF_BYTES"	"18"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"OBJECT_INSTANCE_BEGIN"	"14"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"OBJECT_NAME"	"11"	"varchar"	"512"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"OBJECT_SCHEMA"	"10"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"OBJECT_TYPE"	"13"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"OPERATION"	"17"	"varchar"	"32"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"SOURCE"	"5"	"varchar"	"64"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"SPINS"	"9"	"int"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"THREAD_ID"	"1"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"TIMER_END"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"TIMER_START"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history_long"	"TIMER_WAIT"	"8"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_host_by_event_name"	"AVG_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_host_by_event_name"	"COUNT_STAR"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_host_by_event_name"	"MAX_TIMER_WAIT"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_host_by_event_name"	"MIN_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_host_by_event_name"	"SUM_TIMER_WAIT"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_instance"	"AVG_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_instance"	"COUNT_STAR"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_instance"	"EVENT_NAME"	"1"	"varchar"	"128"	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_instance"	"MAX_TIMER_WAIT"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_instance"	"MIN_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_instance"	"SUM_TIMER_WAIT"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_thread_by_event_name"	"AVG_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_thread_by_event_name"	"COUNT_STAR"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_thread_by_event_name"	"MAX_TIMER_WAIT"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_thread_by_event_name"	"MIN_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_thread_by_event_name"	"SUM_TIMER_WAIT"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_user_by_event_name"	"AVG_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_user_by_event_name"	"COUNT_STAR"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_user_by_event_name"	"MAX_TIMER_WAIT"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_user_by_event_name"	"MIN_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_user_by_event_name"	"SUM_TIMER_WAIT"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"AVG_TIMER_WAIT"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"COUNT_STAR"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"MAX_TIMER_WAIT"	"8"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"MIN_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"SUM_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_global_by_event_name"	"AVG_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_global_by_event_name"	"COUNT_STAR"	"2"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_global_by_event_name"	"MAX_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_global_by_event_name"	"MIN_TIMER_WAIT"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_global_by_event_name"	"SUM_TIMER_WAIT"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_instances"	"EVENT_NAME"	"2"	"varchar"	"128"	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_instances"	"OPEN_COUNT"	"3"	"int"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"AVG_TIMER_MISC"	"22"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"AVG_TIMER_READ"	"10"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"AVG_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"AVG_TIMER_WRITE"	"16"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"COUNT_MISC"	"19"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"COUNT_READ"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"COUNT_STAR"	"2"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"COUNT_WRITE"	"13"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MAX_TIMER_MISC"	"23"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MAX_TIMER_READ"	"11"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MAX_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MAX_TIMER_WRITE"	"17"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MIN_TIMER_MISC"	"21"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MIN_TIMER_READ"	"9"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MIN_TIMER_WAIT"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"MIN_TIMER_WRITE"	"15"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"SUM_NUMBER_OF_BYTES_READ"	"12"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"SUM_NUMBER_OF_BYTES_WRITE"	"18"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"SUM_TIMER_MISC"	"20"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"SUM_TIMER_READ"	"8"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"SUM_TIMER_WAIT"	"3"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"SUM_TIMER_WRITE"	"14"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"AVG_TIMER_MISC"	"24"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"AVG_TIMER_READ"	"12"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"AVG_TIMER_WAIT"	"7"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"AVG_TIMER_WRITE"	"18"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"COUNT_MISC"	"21"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"COUNT_READ"	"9"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"COUNT_STAR"	"4"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"COUNT_WRITE"	"15"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"EVENT_NAME"	"2"	"varchar"	"128"	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"FILE_NAME"	"1"	"varchar"	"512"	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MAX_TIMER_MISC"	"25"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MAX_TIMER_READ"	"13"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MAX_TIMER_WAIT"	"8"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MAX_TIMER_WRITE"	"19"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MIN_TIMER_MISC"	"23"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MIN_TIMER_READ"	"11"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MIN_TIMER_WAIT"	"6"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"MIN_TIMER_WRITE"	"17"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"SUM_NUMBER_OF_BYTES_READ"	"14"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"SUM_NUMBER_OF_BYTES_WRITE"	"20"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"SUM_TIMER_MISC"	"22"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"SUM_TIMER_READ"	"10"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"SUM_TIMER_WAIT"	"5"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"SUM_TIMER_WRITE"	"16"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"host_cache"	"COUNT_ADDRINFO_PERMANENT_ERRORS"	"10"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"host_cache"	"COUNT_ADDRINFO_TRANSIENT_ERRORS"	"9"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"host_cache"	"COUNT_AUTH_PLUGIN_ERRORS"	"14"	"bigint"	\N	\N	\N	\N	\N
"mysql"	"performance_schema"	"host_cache"	"COUNT_AUTHENTICATION_ERRORS"	"18"	"bigint"	\N	\N	\N	\N	\N
